<meta-data>
nrMolecules = 5740
nrFoodSet   = 48
nrReactions = 6039

<molecules>
H2O; Water	C00001
(+)-Isoafricanol; (1aS,4aR,5R,7aS,7bR)-3,3,5,7b-Tetramethyldecahydro-4aH-cyclopropa[e]azulen-4a-ol	C21660
(-)-Spiroviolene	C21661
(E)-1-(L-Cysteinylglycine-S-yl)-N-hydroxy-omega-(methylsulfanyl)alkane-1-imine	C21662
(E)-1-(L-Cysteinylglycine-S-yl)-N-hydroxy-2-(1H-indol-3-yl)ethane-1-imine	C21663
(Glutathione-S-yl)(1H-indol-3-yl)acetonitrile	C21664
(L-Cysteinylglycine-S-yl)(1H-indol-3-yl)acetonitrile	C21665
(3R,4R)-3-[(1S)-1-Hydroxyalkyl]-4-(hydroxymethyl)oxolan-2-one	C21666
(Z)-1-(L-Cysteinylglycine-S-yl)-N-hydroxy-2-phenylethane-1-imine	C21667
(3R,4R)-3-Alkanoyl-4-(hydroxymethyl)oxolan-2-one	C21668
Tsukubadiene; (1S,3aS,5Z,7aS,10aR,11Z)-1,5,8,8,10a-Pentamethyl-2,3,3a,4,7,7a,8,9,10,10a-decahydro-1H-dicyclopenta[a,d][9]annulene	C21670
Ornithine lipid	C21672
N-Methylornithine lipid	C21673
N,N-Dimethylornithine lipid	C21674
N,N,N-Trimethylornithine lipid	C21675
(2S,3R,6S,9S)-(-)-Protoillud-7-ene; (2aS,4aS,7aS,7bR)-3,6,6,7b-Tetramethyl-2,2a,4a,5,6,7,7a,7b-octahydro-1H-cyclobuta[e]indene	C21676
(3S)-(+)-Asterisca-2(9),6-diene; (4S,7Z)-2,2,4,7-Tetramethyl-2,3,4,5,6,9-hexahydro-1H-cyclopenta[8]annulene	C21677
(3R)-3-Hydroxy-16-methoxy-1,2-didehydro-2,3-dihydrotabersonine	C21678
(-)-alpha-Amorphene; (1S,4aR,8aS)-4,7-Dimethyl-1-(propan-2-yl)-1,2,4a,5,6,8a-hexahydronaphthalene	C21679
Lyso-ornithine lipid	C21680
(+)-Corvol ether B; (1S,3R,5aR,6S,8aR)-3,6-Dimethyl-1-(propan-2-yl)hexahydro-1H,3H-3,8a-methanocyclopenta[c]oxepine	C21681
(3R)-3-Hydroxy-2,3-dihydrotabersonine	C21682
(3R)-3-Hydroxy-1,2-didehydro-2,3-dihydrotabersonine	C21683
(+)-Eremophilene; (3S,4aS,5R)-4a,5-Dimethyl-3-(prop-1-en-2-yl)-1,2,3,4,4a,5,6,7-octahydronaphthalene	C21684
(1R,4R,5S)-(-)-Guaia-6,10(14)-diene; (1R)-1-Methyl-4-methylidene-7-(propan-2-yl)-1,2,3,3a,4,5,6,8a-octahydroazulene; (1R)-7-Isopropyl-1-methyl-4-methylene-1,2,3,3a,4,5,6,8a-octahydroazulene	C21685
(+)-(1E,4E,6S,7R)-Germacra-1(10),4-dien-6-ol; (1S,2E,6E,10R)-3,7-Dimethyl-10-(propan-2-yl)cyclodeca-2,6-dien-1-ol	C21686
(3E,7E)-Dolabella-3,7-dien-18-ol; 2-[(1R,3aR,5E,9E,12aR)-3a,6,10-Trimethyl-1,2,3,3a,4,7,8,11,12,12a-decahydrocyclopenta[11]annulen-1-yl]propan-2-ol	C21687
(3E,7E)-Dolathalia-3,7,11-triene; (7E,11E)-3,3,7,11,13a-Pentamethy1-2,3,5,6,9,10,13,13a-octahydro-1H-benzo[11]annulene	C21688
7-epi-alpha-Eudesmol; (-)-7-epi-alpha-Eudesmol; 2-[(2S,4aR,8aR)-4a,8-Dimethyl-1,2,3,4,4a,5,6,8a-octahydronaphthalen-2-yl]propan-2-ol	C21689
4-epi-Cubebol; (+)-4-epi-Cubebol; (3S,3aS,3bR,4S,7S,7aS)-4-(2-Hydroxypropan-2-yl)-7-methyloctahydro-1H-cyclopenta[1,3]cyclopropa[1,2]benzen-3-ol	C21690
(+)-Corvol ether A; (1R,4S,4aR,7R,8aR)-4,7-Dimethyl-1-(propan-2-yl)decahydro-1,7-epoxynaphthalene	C21693
10-epi-Juneol; 10alpha-Eudesm-4(14)-en-6alpha-ol	C21694
tau-Cadinol; 10beta-Cadin-4-en-10-ol	C21695
(2E,6E)-Hedycaryol; (1E,4E,7R)-Germacra-1(10),4-dien-11-ol	C21698
10-epi-Cubebol	C21700
Sesterfisherol	C21701
beta-Thujene	C21702
Stellata-2,6,19-triene	C21703
Guaia-4,6-diene	C21705
Pseudolaratriene; (1RS,3aSR,8aRS)-3a,6-Dimethyl-1-(6-methylhepta-2,5-dien-2-yl)-1,2,3,3a,4,7,8,8a-octahydrohydroazulene	C21706
Selina-4(15),7(11)-diene	C21707
(+)-(2S,3R,9R)-Pristinol; (1R,6R,9aS)-1,4,8,8-Tetramethyl-2,3,5,6,7,8,9,9a-octahydro-1H-cyclopenta[8]annulen-6-ol	C21708
Nezukol; Pimar-15-en-8-ol	C21709
5-Hydroxy-alpha-gurjunene	C21710
ent-Atiserene	C21711
ent-13-epi-Manoyl oxide; (13R)-ent-8,13-Epoxylabd-14-ene	C21714
(2Z,6E)-Hedycaryol; (1E,4Z,7R)-Germacra-1(10),4-dien-11-ol	C21715
beta-Geranylfarnesene; (6E,10E,14E)-7,11,15,19-Tetramethyl-3-methyleneicosa-1,6,10,14,18-pentaene	C21716
beta-Hexaprene	C21717
beta-Heptaprene	C21718
9,13-Epoxylabda-14-ene	C21720
Manoyl oxide; (13R)-Manoyl oxide; (13R)-8,13-Epoxylabd-14-ene	C21725
Cycloaraneosene; (1R,3aR,9aS,10aR)-1,9a-Dimethyl-4-methylene-7-(propan-2-yl)-1,2,3,3a,4,5,6,8,9,9a,10,10a-dodecahydrodicyclopenta[a,d][8]annulene	C21726
(13E)-Labda-7,13-dien-15-yl diphosphate; (13E)-Labda-7,13-dienyl diphosphate	C21727
Labda-7,13(16),14-triene	C21728
(12E)-Labda-8(17),12,14-triene	C21729
epsilon-(gamma-L-Glutamyl)-L-lysine	C21730
2-(Hydroxysulfanyl)hercynine; Nalpha,Nalpha,Nalpha-Trimethyl-2-(hydroxysulfanyl)-L-histidine; 2-Sulfenohercynine	C21731
(3S,22S)-2,3:22,23-Diepoxy-2,3,22,23-tetrahydrosqualene; 2,3,22,23-Dioxidosqualene	C21732
Pre-alpha-onocerin; (21S)-21,22-Epoxypolypoda-8(26)-13,17-trien-3beta-ol	C21733
alpha-Onocerin; 8,14-Secogammacera-8(26),14(27)-diene-3beta,21alpha-diol	C21734
(-)-Kolavenyl diphosphate; (2E)-5-[(1R,2S,4aS,8aS)-1,2,4a,5-Tetramethyl-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-yl]-3-methylpent-2-en-1-yl diposphate	C21735
4-Sulfanylbutanoate	C21736
4,4'-Disulfanediyldibutanoate	C21737
N-Acetyl-beta-D-glucosaminyl-(1->4)-D-glucosamine	C21747
5-Fluorouridine diphosphate	C21748
5-Fluorouridine triphosphate	C21749
5-Fluorodeoxyuridine diphosphate	C21750
5-Fluorodeoxyuridine triphosphate	C21751
2-Hydroxyethyl-CoM	C21752
2-Chloro-2-hydroxyethyl-CoM	C21753
Isonicotinoyl radical	C21754
Hepatotoxins	C21758
Isonicotinoyl-NAD adduct; INH-NAD adduct	C21759
Isonicotinoyl-NADP adduct; INH-NADP adduct	C21760
4-Hydroxytryptamine	C21762
5-Hydroxybenzimidazole	C21764
4,4'-Diapolycopen-4-al	C21766
Pyridinium-3,5-bisthiocarboxylate mononucleotide; P2TMN	C21767
4,4'-Diapolycopen-4-oate	C21768
Ni(II)-pyridinium-3,5-bisthiocarboxylate mononucleotide	C21769
4,4'-Diapolycopene-4,4'-dioate	C21770
L-Firefly luciferin; (R)-4,5-Dihydro-2-(6-hydroxy-1,3-benzothiazol-2-yl)thiazole-4-carboxylate	C21771
L-Firefly luciferyl-CoA	C21772
[(3S)-4-Alkanoyl-5-oxooxolan-3-yl]methyl phosphate	C21773
(4-Alkanoyl-5-oxo-2,5-dihydrofuran-3-yl)methyl phosphate	C21774
1-(4-Methoxyphenyl)-N-methyl-N-[(3-methyloxetan-3-yl)methyl]methanamine	C21775
2-({[(4-Methoxyphenyl)methyl](methyl)amino}methyl)-2-methylpropane-1,3-diol	C21776
4-Hydroxy-L-tryptophan	C21777
Norbaeocystin; 4-Hydroxytryptamine 4-phosphate	C21778
Baeocystin; 4-Hydroxy-N-methyltryptamine 4-phosphate	C21779
alpha-D-Mannosyl-(1-3)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol	C21780
alpha-D-Mannosyl-(1-3)-alpha-D-mannosyl-(1-3)-alpha-D-mannosyl-(1-3)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol	C21781
N5-Phospho-L-glutamine	C21785
Cobalamins	Cobalamins
dipyrromethane	dipyrromethane
Enzyme	Enzyme
Flavins	Flavins
Folates	Folates
N-Acetyl-D-glucosaminyldiphosphodolichol; (GlcNAc)1 (PP-Dol)1	G00001
(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1	G00008
(Glc)3 (GlcNAc)2 (Man)9 (Asn)1	G00009
(GlcNAc)2 (Man)9 (Asn)1	G00011
(GlcNAc)2 (Man)5 (Asn)1	G00012
(GlcNAc)4 (Man)3 (Asn)1	G00015
(Gal)2 (GlcNAc)4 (LFuc)1 (Man)3 (Asn)1	G00017
DS 3; (Gal)2 (GlcNAc)4 (LFuc)1 (Man)3 (Neu5Ac)2 (Asn)1	G00018
(GlcNAc)5 (Man)3 (Asn)1	G00019
Tn antigen; (GalNAc)1 (Ser/Thr)1	G00023
T antigen; (Gal)1 (GalNAc)1 (Ser/Thr)1	G00024
(GalNAc)1 (GlcNAc)1 (Ser/Thr)1	G00028
(GalNAc)1 (GlcNAc)2 (Ser/Thr)1	G00029
(GalNAc)1 (GlcNAc)1 (Ser/Thr)1	G00031
Lc4Cer; (Gal)2 (Glc)1 (GlcNAc)1 (Cer)1	G00037
(Gal)3 (Glc)1 (GlcNAc)1 (Cer)1	G00038
Type IB glycolipid; (Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	G00039
(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1	G00040
Type IA glycolipid; (Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	G00042
(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1	G00043
IV2Fuc-Lc4Cer; IV2-a-Fuc-Lc4Cer; Type IH glycolipid; (Gal)2 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	G00044
IV2Fuc,III4Fuc-Lc4Cer; IV2-a-Fuc,III4-a-Fuc-Lc4Cer; Leb glycolipid; (Gal)2 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1	G00045
Fuc-Lc4Cer; III4-a-Fuc-Lc4Cer; Lea glycolipid; (Gal)2 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	G00046
3'-isoLM1; IV3-a-Neu5Ac-Lc4Cer; sLc4Cer; (Gal)2 (Glc)1 (GlcNAc)1 (Neu5Ac)1 (Cer)1	G00047
Fuc-3'-isoLM1; IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer; (Gal)2 (Glc)1 (GlcNAc)1 (LFuc)1 (Neu5Ac)1 (Cer)1	G00048
Paragloboside; Lactoneotetraosylceramide; Lacto-N-neotetraosylceramide; Neolactotetraosylceramide; LA1; nLcCer; (Gal)2 (Glc)1 (GlcNAc)1 (Cer)1	G00050
nLc5Cer; (Gal)3 (Glc)1 (GlcNAc)1 (Cer)1	G00051
IV2Fuc-nLc4Cer; IV2-a-Fuc-nLc4Cer; Type IIH glycolipid; (Gal)2 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	G00055
III3,IV2Fuc-nLc4Cer; IV2-a-Fuc,III3-a-Fuc-nLc4Cer; Ley glycolipid; (Gal)2 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1	G00056
III3Fuc-nLc4Cer; III3-a-Fuc-nLc4Cer; Lacto-N-fucopentaosyl III ceramide; LNF III cer; SSEA-1; (Gal)2 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	G00060
Sialyl-3-paragloboside; 3'-LM1; IV3-a-Neu5Ac-nLc4Cer; snLc4Cer; (Gal)2 (Glc)1 (GlcNAc)1 (Neu5Ac)1 (Cer)1	G00062
IV3NeuAc,III3Fuc-nLc4Cer; IV3-a-NeuAc,III3-a-Fuc-nLc4Cer; (Gal)2 (Glc)1 (GlcNAc)1 (LFuc)1 (Neu5Ac)1 (Cer)1	G00063
nLc6Cer; i-antigen; (Gal)3 (Glc)1 (GlcNAc)2 (Cer)1	G00067
nLc8Cer; (Gal)4 (Glc)1 (GlcNAc)3 (Cer)1	G00069
VI2Fuc-nLc6; (Gal)3 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1	G00071
(Gal)3 (Glc)1 (GlcNAc)2 (LFuc)2 (Cer)1	G00081
(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)1 (Cer)1	G00084
V3Fuc-nLc6Cer; (Gal)3 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1	G00089
Lactosylceramide; CDw17; LacCer; (Gal)1 (Glc)1 (Cer)1	G00092
Globotriaosylceramide; Gb3Cer; Pk antigen; CD77; (Gal)2 (Glc)1 (Cer)1	G00093
Globoside; Gb4Cer; P antigen; (Gal)2 (GalNAc)1 (Glc)1 (Cer)1	G00094
(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)1 (Cer)1	G00103
(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	G00104
GM3; Hematoside; (Gal)1 (Glc)1 (Neu5Ac)1 (Cer)1	G00108
GM2; Ganglioside; (Gal)1 (GalNAc)1 (Glc)1 (Neu5Ac)1 (Cer)1	G00109
GM1; (Gal)2 (GalNAc)1 (Glc)1 (Neu5Ac)1 (Cer)1	G00110
GD1a; (Gal)2 (GalNAc)1 (Glc)1 (Neu5Ac)2 (Cer)1	G00111
GD1b; (Gal)2 (GalNAc)1 (Glc)1 (Neu5Ac)2 (Cer)1	G00115
GT1b; (Gal)2 (GalNAc)1 (Glc)1 (Neu5Ac)3 (Cer)1	G00116
GQ1b; (Gal)2 (GalNAc)1 (Glc)1 (Neu5Ac)4 (Cer)1	G00117
GA2; (Gal)1 (GalNAc)1 (Glc)1 (Cer)1	G00123
GA1; (Gal)2 (GalNAc)1 (Glc)1 (Cer)1	G00124
(GlcN)1 (Ino-P)1	G00144
(Xyl)1 (Ser)1	G00154
(Gal)2 (GalNAc)1 (GlcA)1 (Xyl)1 (Ser)1	G00158
(Gal)2 (GalNAc)1 (GlcA)2 (Xyl)1 (Ser)1	G00159
(Gal)2 (GalNAc)2 (GlcA)2 (Xyl)1 (Ser)1	G00160
(Gal)2 (GalNAc)3 (GlcA)3 (Xyl)1 (Ser)1	G00161
(Man)4	G00172
(Gal)1 (GalNAc)1 (Glc)1 (Neu5Ac)1 (Cer)1	G00176
(GlcNAc)1 (ManNAc)1 (PP-Und)1	G00177
(Gal)2 (GalNAc)2 (GlcA)3 (Xyl)1	G00180
N-Acetyllactosamine; (Gal)1 (GlcNAc)1	G00246
Raffinose; (Fruf)1 (Gal)1 (Glc)1	G00249
PA6; HpxB1; (Gal)2 (GlcNAc)4 (Man)3 (Neu5Ac)2	G00251
(Gal)1 (GlcNAc)1 (Neu5Ac)1	G00255
Maltose; Maltitol; (Glc)2	G00275
Stachyose; (Fruf)1 (Gal)2 (Glc)1	G00278
Lacto-N-biose; (Gal)1 (GlcNAc)1	G00284
Cellobiose; Glucoscilliroside; (Glc)2	G00289
Trehalose; (Glc)2	G00293
Linear B type 2 trisaccharide; (Gal)2 (GlcNAc)1	G00304
(GlcNAc)1 (Man)3	G00309
GM4; (Gal)1 (Neu5Ac)1 (Cer)1	G00317
Cellotriose; Cellosaccharide; (Glc)3	G00318
(GlcNAc)1 (Man)2	G00319
3'-LM1-NeuGc; (Gal)2 (Glc)1 (GlcNAc)1 (Neu5Gc)1 (Cer)1	G00332
Laminaribiose; Laminariobiose; 3-O-beta-D-Glucopyranosyl-D-glucose; (Glc)2	G00357
Sucrose; Neohancoside D; Reiniose; (Fruf)1 (Glc)1	G00370
PA5; (Gal)2 (GlcNAc)4 (Man)3 (Neu5Ac)1	G00393
Lc4; r-Lactotetraose-HSA; Lacto-N-tetraose; LNT; (Gal)2 (Glc)1 (GlcNAc)1	G00395
iGb3-Cer; (Gal)2 (Glc)1 (Cer)1	G00403
Cellotetraose; (Glc)4	G00459
Ga2-Cer; (Gal)2 (Cer)1	G00497
Manninotriose; (Gal)2 (Glc)1	G00501
(GlcA)2 (GlcNAc)2	G00526
Cellopentaose; (Glc)5	G00546
(GlcNAc)1 (Man)2	G00595
(GlcA)1 (GlcNAc)2	G00711
PA4; (Gal)2 (GlcNAc)4 (Man)3 (Neu5Ac)1	G00837
DWA-2; Chondroitin 4-sulfate; (GalNAc)1 (GlcA)1 (S)1	G00872
(GlcNAc)1 (Man)1	G00971
GM3; (Gal)1 (Glc)1 (Neu5Ac)1 (Cer)1	G01185
Palatinose; (Fruf)1 (Glc)1	G01241
Melibiose; (Gal)1 (Glc)1	G01275
Isomaltose; Hunterioside; (Glc)2	G01318
(Gal)1 (GlcNAc)1 (S)1	G01391
Celloheptaose; Maltoheptaose; (Glc)7	G01455
McOse3Cer; (Gal)2 (Glc)1 (Cer)1	G01491
(Fruf)1 (Gal)2 (Glc)1	G01504
(Glc)1 (Man)1	G01630
(Gal)2 (GlcNAc)2 (S)3	G01945
Cellohexaose; (Glc)6	G01967
(Gal)2 (GlcNAc)2 (S)2	G01977
Hyaluronan-derived disaccharide; (GlcNAc)1 (L4-en-thrHexA)1	G02170
(GalA)2	G02614
(GlcA)1 (GlcNAc)1	G02632
nLc4; (Gal)2 (Glc)1 (GlcNAc)1 (Neu5Gc)1	G02952
(GlcNAc)3 (LFuc)2 (Man)3	G05477
(GlcNAc)1 (Man)4	G07376
Planteose; (Fruf)1 (Gal)1 (Glc)1	G09080
(GlcA)1 (GlcNAc)1 (S)1	G09660
Trehalose 6-phosphate; (Glc)2 (P)1	G09795
(GlcA)1 (GlcNAc)1	G10008
(GalA)1 (L4-en-thrHexA)1	G10113
Glucocerebroside; Glucosylceramide; (Glc)1 (Cer)1	G10238
Chitobiose; Chito-oligosaccharide; (GlcNAc)2	G10336
1,3-beta-D-Glucan; 1,3-beta-Glucan; (Glc)1 (*)2	G10477
1,4-beta-D-Glucan; 1,4-beta-Glucan; Cellulose; (Glc)1 (*)2	G10481
beta-1,4-Poly-N-acetyl-D-glucosamine; Chitin; (GlcNAc)1 (*)2	G10483
Galactinol; 1-alpha-D-Galactosyl-D-myo-inositol; (Gal)1 (Ino)1	G10488
1,4-alpha-D-Glucan; 1,4-alpha-Glucan; Amylose; Maltodextrin; (Glc)1 (*)2	G10495
(Fru)1 (*)2	G10497
(Fru)1 (*)2	G10499
beta-D-Glucosyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol; (Glc)1 (GlcNAc)1 (PP-Und)1	G10501
1,6-alpha-D-Glucan; 1,6-alpha-Glucan; Dextran; (Glc)1 (*)2	G10502
Lactose; (Gal)1 (Glc)1	G10504
Hyaluronic acid; Hyaluronate; Hyaluronan; (GlcA)1 (GlcNAc)1 (*)2	G10505
Pectic acid; (GalA)1 (*)2	G10506
Sucrose 6'-phosphate; Sucrose 6F-phosphate; (Fruf)1 (Glc)1 (P)1	G10508
1,6-alpha-D-Mannosyloligosaccharide; (Man)1 (*)2	G10509
Xylan; 1,4-beta-D-Xylan; (1,4-beta-D-Xylan)n; (1,4-beta-D-Xylan)n+1; (Xyl)1 (*)2	G10512
Lactose 6'-phosphate; (Gal)1 (Glc)1 (P)1	G10517
(Glc)2 (P)1	G10518
Maltose 6'-phosphate; (Glc)2 (P)1	G10519
(Gal)1 (LFuc)1 (Me)1	G10523
Inulobiose; (Fru)2	G10528
Epimelibiose; (Gal)1 (Man)1	G10529
(GlcA)1 (GlcN)1 (S)2	G10530
3-Ketolactose; (3-keto-Gal)1 (Glc)1	G10531
(Man)1 (*)2	G10532
(Gal)1 (*)2	G10534
(Fru)1 (*)2	G10535
Chitosan; beta-1,4-Poly-D-glucosamine; (GlcN)1 (*)2	G10536
(Man)1 (*)2	G10540
(Man)1 (*)2	G10541
(Man)1 (*)2	G10542
(Glc)1 (*)1 (Cer)1	G10544
Starch; Dextrin; (Glc)1 (*)2	G10545
Cyclomaltodextrin; (Glc)3 (cyclic)2	G10546
(GlcNAc)1 (MurNAc)1 (D-Ala-D-Ala-Lys-D-Glu-Ala)1 (PP-Und)1	G10550
(MurNAc)1 (D-Ala-D-Ala-Lys-D-Glu-Ala)1 (PP-Und)1	G10551
(MurNAc)1 (D-Ala-D-Ala-Lys-gamma-D-Glu-Ala)1 (PP-Und)1	G10552
(GlcNAc)1 (MurNAc)1 (D-Ala-D-Ala-Lys-gamma-D-Glu-Ala)1 (PP-Und)1	G10553
(GlcNAc)1 (MurNAc)1 (*)1 (D-Ala-D-Ala-Lys-gamma-D-Glu-Ala)1 (PP-Und)1	G10554
(GlcNAc)1 (MurNAc)1 (D-Ala-D-Ala-A2pm-gamma-D-Glu-Ala)1 (PP-Und)1	G10555
(MurNAc)1 (D-Ala-D-Ala-A2pm-gamma-D-Glu-Ala)1 (PP-Und)1	G10556
(GlcNAc)1 (MurNAc)1 (*)1 (D-Ala-D-Ala-A2pm-gamma-D-Glu-Ala)1 (PP-Und)1	G10557
(Rib-ol)1 (*)2 (P)1	G10558
(Glc)1 (Rib-ol)1 (*)2 (P)1	G10559
(GlcNAc)1 (Rib-ol)1 (*)2 (P)1	G10560
3-Ketosucrose; (3-keto-Glc)1 (Fruf)1	G10585
(Glc)3 (*)1	G10589
(Glc)1 (Glc-1,5-lactone)1	G10590
Pectin; (GalA6Me)1 (*)2	G10591
Acetyl-maltose; (Glc)1 (GlcAc)1	G10592
(Glc)2 (GlcNAc)2 (Man)9 (PP-Dol)1	G10599
(Gal)1 (GalNAc)1	G10607
UDP-D-glucose; UDP-glucose; Uridine diphosphate glucose; (UDP-Glc)1	G10608
UDP-D-galactose; UDP-galactose; Uridene diphosphate galactose; UDP-alpha-D-galactose; (UDP-Gal)1	G10609
UDP-N-acetyl-D-glucosamine; UDP-N-acetylglucosamine; (UDP-GlcNAc)1	G10610
UDP-N-acetyl-D-galactosamine; UDP-N-acetylgalactosamine; (UDP-GalNAc)1	G10611
UDP-D-glucuronate; UDP-D-glucuronic acid; UDP-glucuronate; UDP-glucuronic acid; (UDP-GlcA)1	G10612
UDP-D-xylose; UDP-xylose; (UDP-Xyl)1	G10613
GDP-L-fucose; (GDP-LFuc)1	G10615
CMP-N-acetylneuraminate; CMP-N-acetylneuraminic acid; (CMP-Neu5Ac)1	G10616
Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate; (Man)1 (P-Dol)1	G10617
Dolichyl D-glucosyl phosphate; (Glc)1 (P-Dol)1	G10618
UDP; Uridine 5'-diphosphate; (UDP)1	G10619
GDP; Guanosine 5'-diphosphate; Guanosine diphosphate; (GDP)1	G10620
CMP; Cytidine 5'-monophosphate; Cytidylic acid; (CMP)1	G10621
Dolichyl phosphate; Dolichol phosphate; (P-Dol)1	G10622
(GlcNAc)2 (LFuc)1 (Man)3 (Xyl)1 (Asn)1	G10665
(GlcNAc)2 (Man)8 (Asn)1	G10694
(GlcNAc)2 (LFuc)2 (Man)3 (Asn)1	G10920
(Gal)1 (GlcNAc)1 (LFuc)1 (Neu5Ac)1 (Ser/Thr)1	G10982
GDP-glucose; (GDP-Glc)1	G11108
ADP-glucose; Adenosine diphosphoglucose; (ADP-Glc)1	G11109
UDP-N-acetyl-D-mannosamine; (UDP-ManNAc)1	G11112
ADP; Adenosine 5'-phosphate; (ADP)1	G11113
Galactosylceramide; Galactocerebroside; GalCer; (Gal)1 (Cer)1	G11121
Sulfatide; Galactosylceramide sulfate; SM4s; (Gal)1 (S)1 (Cer)1	G11122
Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A); Kdo2-lipid IV(A); (GlcN)2 (Kdo)2 (P)2 (acyl)4	G11160
Mycothiol; (GlcN)1 (acyl)1 (myo-Ino)1	G11174
Mycothione; (GlcN)2 (acyl)2 (myo-Ino)2	G11175
(GalNAc)2 (GlcA)1 (S)2	G12336
6-(alpha-D-glucosaminyl)-1D-myo-inositol; (GlcN)1 (Ino)1	G12396
(Man)1 (Ser/Thr)1	G13027
(GlcA)2 (GlcN)1 (GlcNAc)1 (LIdoA)1 (S)4	G13034
(GlcA)2 (GlcN)1 (GlcNAc)1 (LIdoA)1 (S)3	G13035
(GlcA)2 (GlcN)1 (GlcNAc)1 (S)3	G13036
(GlcA)2 (GlcN)1 (GlcNAc)1 (S)2	G13037
(GlcA)2 (GlcNAc)2 (S)2	G13038
(GlcA)2 (GlcNAc)1 (S)2	G13039
(GlcA)2 (GlcNAc)1 (S)1	G13040
(GalNAc)2 (GlcA)1 (LIdoA)1 (S)3	G13041
(GalNAc)2 (GlcA)1 (LIdoA)1 (S)2	G13042
(GalNAc)2 (GlcA)1 (S)1	G13043
(Gal)1 (GlcNAc)1 (LFuc)1 (Ser/Thr)1	G13054
(GlcNAc)4 (LFuc)1 (Man)3 (Xyl)1 (Asn)1	G13056
(Gal)1 (GlcNAc)3 (LFuc)1 (Man)3 (Asn)1	G13057
(Gal)1 (GlcNAc)2 (LFuc)1 (Man)3 (Asn)1	G13058
alpha-Kdo-(2->8)-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA; (GlcN)2 (Kdo)3 (P)2 (acyl)4	G13060
alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA; (GlcN)2 (Kdo)4 (P)2 (acyl)4	G13061
(Gal)1 (GlcNAc)2 (S)2	G13073
(Gal)1 (GlcNAc)2 (S)1	G13074
Hemes	Hemes
IronSulfurClusters	IronSulfurClusters
Molybdopterin	Molybdopterin
NADs	NADs
Ni-Fe-S_cluster	Ni-Fe-S_cluster
Other_clusters	Other_clusters
Other_quinones	Other_quinones
Pooling	Pooling
Pyrroloquinoline_Quinone	Pyrroloquinoline_Quinone
Quinones	Quinones
Spontaneous	Spontaneous
TTQ	TTQ


<food set>
Hydrogen; H2	C00282
CO2; Carbon dioxide	C00011
H2O; Water	C00001
IronSulfurClusters	IronSulfurClusters
Other_clusters	Other_clusters
Ni-Fe-S_cluster	Ni-Fe-S_cluster
Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid	C00009
Sulfate; Sulfuric acid	C00059
Pooling	Pooling
Spontaneous	Spontaneous
Magnesium cation; Mg2+; Magnesium(2+); Magnesium ion	C00305
Manganese(2+); Mn2+; Mn(II)	C19610
Zinc cation; Zn2+; Zn(II); Zinc ion	C00038
Cobalt ion; Cobalt(2+); Co2+; Co(II)	C00175
Calcium cation; Ca2+; Calcium(2+); Calcium ion	C00076
Nickel(2+); Ni2+; Ni(II)	C19609
Fe2+; Fe(II); Ferrous ion; Iron(2+)	C14818
Copper; Cu+; Cu2+; Cu(II)	C00070
Strontium cation; Sr2+; Strontium(2+); Strontium ion	C13884
Cadmium	C01413
Lead; Pb; Pb2+	C06696
Fe3+; Fe(III); Ferric ion; Iron(3+)	C14819
Potassium cation; K+; Potassium(1+); Potassium ion	C00238
Sodium cation; Na+; Sodium(1+); Sodium ion	C01330
Cl-; Chloride; Chloride ion	C00698
Nitrogen; N2	C00697
NH4+; Ammonia ion; Ammonium(1+)	C01342
Ammonia; NH3	C00014
Vanadium; V	C06267
